,Species,Model_name,Trait,B0,E,T_pk,E_D,E_D_L,Est.Tpk,Est.Tmin,Est.Tmax,Max response,R_Squared,AIC,BIC,Rank,Corrected,Number.of.Data.Points,Number.of.Variables,FinalID,OriginalID,Citation,Latitude,Longitude,ConKingdom,ConPhylum,ConClass,ConOrder,ConFamily,ConGenus,ConSpecies,OptimalConditions,Best_Guess
395_Sch_TF,Acetobacterium tundrae,schoolfield two factor,Specific Growth Rate,-3.186392353872219,1.409224259601288,300.376145043,34.23078898357067,NA,300.33,298.53,300.93,8.98637712287,0.9991327523104571,-28.38987891174518,-29.458407106145724,1,False,4,4,395,142,"Nozhevnikova, AN, et al Temperature characteristics of methanogenic archaea and acetogenic bacteria isolated from cold environments. Water Science and Technology, 44, 41-48 ",,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,tundrae,True,E1
395_Sch_OS,Acetobacterium tundrae,schoolfield simple,Specific Growth Rate,-3.186392465033303,1.4092243125235129,NA,169.2470281791121,NA,NA,NA,NA,NA,0.9991327525727627,-28.38987891174481,-29.458407106145355,2,False,4,4,395,142,"Nozhevnikova, AN, et al Temperature characteristics of methanogenic archaea and acetogenic bacteria isolated from cold environments. Water Science and Technology, 44, 41-48 ",,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,tundrae,True,E1
399_Sch_OS,Acetobacterium tundrae,schoolfield simple,Specific Growth Rate,-1.4645217303895386,0.6893226008720177,NA,0.4310604282951169,NA,NA,NA,NA,NA,0.9756128101254987,-24.768144968794473,-24.720955406623972,1,False,5,4,399,146,"2000, Maria V. Simankova and Oleg R. Kotsyurbenko and Erko Stackebrandt and Nadezhda A. Kostrikina and Anatoliy M. Lysenko and Georgiy A. Osipov and Alla N. Nozhevnikova, 'Acetobacterium tundrae sp. nov., a new psychrophilic acetogenic bacterium from tundra soil'. Archives of Microbiology, 174(6),pp440-447",,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,tundrae,True,E1
399_Sch_TF,Acetobacterium tundrae,schoolfield two factor,Specific Growth Rate,-1.65944993836693,0.5973698943292408,423.149128892,0.5989575947514557,NA,NA,NA,NA,NA,0.9750899383439304,-24.661529765623413,-24.61434020345291,2,False,5,4,399,146,"2000, Maria V. Simankova and Oleg R. Kotsyurbenko and Erko Stackebrandt and Nadezhda A. Kostrikina and Anatoliy M. Lysenko and Georgiy A. Osipov and Alla N. Nozhevnikova, 'Acetobacterium tundrae sp. nov., a new psychrophilic acetogenic bacterium from tundra soil'. Archives of Microbiology, 174(6),pp440-447",,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,tundrae,True,E1
396_Sch_TF,Acetobacterium z-4092,schoolfield two factor,Specific Growth Rate,0.048157671986144755,0.5260314641169891,313.588093386,9.272361904651,NA,NA,NA,NA,NA,0.9845201170184612,-10.089274838314736,-10.042085276144235,1,False,5,4,396,143,"1995, O. R. Kotsyurbenko and M. V. Simankova and A. N. Nozhevnikova. Not Available and T. N. Zhilina and N. P. Bolotina and A. M. Lysenko and G. A. Osipov, 'New species of psychrophilic acetogens: Acetobacterium bakii sp. nov., A. paludosum sp. nov., A. fimetarium sp. nov.'. Archives of Microbiology, 163(1),pp29-34",,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,,True,E1
396_Sch_OS,Acetobacterium z-4092,schoolfield simple,Specific Growth Rate,0.04815771577559976,0.5260314467612104,NA,6.577130058260466,NA,NA,NA,NA,NA,0.9845201170882224,-10.089274838218806,-10.042085276048304,2,False,5,4,396,143,"1995, O. R. Kotsyurbenko and M. V. Simankova and A. N. Nozhevnikova. Not Available and T. N. Zhilina and N. P. Bolotina and A. M. Lysenko and G. A. Osipov, 'New species of psychrophilic acetogens: Acetobacterium bakii sp. nov., A. paludosum sp. nov., A. fimetarium sp. nov.'. Archives of Microbiology, 163(1),pp29-34",,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,,True,E1
398_Sch_OS,Acetobacterium z-4290,schoolfield simple,Specific Growth Rate,-1.3266317019425669,0.6426907136397628,NA,27.57775619222771,NA,302.607,298.807,303.507,3.6985002429,0.9927393005588258,-24.72502217437203,-22.995471429095463,1,False,7,4,398,145,"1995, O. R. Kotsyurbenko and M. V. Simankova and A. N. Nozhevnikova. Not Available and T. N. Zhilina and N. P. Bolotina and A. M. Lysenko and G. A. Osipov, 'New species of psychrophilic acetogens: Acetobacterium bakii sp. nov., A. paludosum sp. nov., A. fimetarium sp. nov.'. Archives of Microbiology, 163(1),pp29-34",,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,,True,E1
398_Sch_TF,Acetobacterium z-4290,schoolfield two factor,Specific Growth Rate,-1.326631702804411,0.6426907136683288,302.628693114,30.937556565506394,NA,302.607,298.907,303.407,3.71040450917,0.9927394782574823,-24.725021829482266,-22.9954710842057,2,False,7,4,398,145,"1995, O. R. Kotsyurbenko and M. V. Simankova and A. N. Nozhevnikova. Not Available and T. N. Zhilina and N. P. Bolotina and A. M. Lysenko and G. A. Osipov, 'New species of psychrophilic acetogens: Acetobacterium bakii sp. nov., A. paludosum sp. nov., A. fimetarium sp. nov.'. Archives of Microbiology, 163(1),pp29-34",,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,,True,E1
398_Sch_O,Acetobacterium z-4290,schoolfield,Specific Growth Rate,-0.6334845332285411,0.6426907344647929,NA,20.883062110344056,-1.1963522395e-09,302.607,298.707,303.707,3.66883786281,0.9927393037237546,-20.725018046393274,-19.10364700300608,3,False,7,6,398,145,"1995, O. R. Kotsyurbenko and M. V. Simankova and A. N. Nozhevnikova. Not Available and T. N. Zhilina and N. P. Bolotina and A. M. Lysenko and G. A. Osipov, 'New species of psychrophilic acetogens: Acetobacterium bakii sp. nov., A. paludosum sp. nov., A. fimetarium sp. nov.'. Archives of Microbiology, 163(1),pp29-34",,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,,True,E1
397_Sch_TF,Acetobacterium z-4391,schoolfield two factor,Specific Growth Rate,0.5595275384310402,0.16916733341229595,378.575722782,3.0719264561409414,NA,NA,NA,NA,NA,0.978208973697694,-20.83353290993105,-20.78634334776055,1,False,5,4,397,144,"1995, O. R. Kotsyurbenko and M. V. Simankova and A. N. Nozhevnikova. Not Available and T. N. Zhilina and N. P. Bolotina and A. M. Lysenko and G. A. Osipov, 'New species of psychrophilic acetogens: Acetobacterium bakii sp. nov., A. paludosum sp. nov., A. fimetarium sp. nov.'. Archives of Microbiology, 163(1),pp29-34",,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,,True,E1
397_Sch_OS,Acetobacterium z-4391,schoolfield simple,Specific Growth Rate,1.252165987223518,0.16924636554847194,NA,0.0001588224486015477,NA,NA,NA,NA,NA,0.9782089401702949,-20.833532012513935,-20.786342450343433,2,False,5,4,397,144,"1995, O. R. Kotsyurbenko and M. V. Simankova and A. N. Nozhevnikova. Not Available and T. N. Zhilina and N. P. Bolotina and A. M. Lysenko and G. A. Osipov, 'New species of psychrophilic acetogens: Acetobacterium bakii sp. nov., A. paludosum sp. nov., A. fimetarium sp. nov.'. Archives of Microbiology, 163(1),pp29-34",,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,,True,E1
68_Sch_TF,Acidianus brierleyi,schoolfield two factor,Time To Increase SO4 to 3000mg/L,-7.820955482766089,0.6669483837611164,349.483653276,3.430124824708435,NA,349.4493,342.0493,354.7493,0.157192623165,0.9735024606979772,-178.84731771896358,-172.1251228231314,1,False,19,4,68,Franzman_2005_A_brierleyi,"2005,  FRANZMANN, P.D. et al , 'Effects of temperature on the rates of iron and sulfur oxidationby selected bioleaching Bacteria and Archaea: Application of the Ratkowsky equation', Minerals Engineering, 18, (1304?1314)",44.42,-110.58,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,brierleyi,True,C19
68_Sch_OS,Acidianus brierleyi,schoolfield simple,Time To Increase SO4 to 3000mg/L,-7.82086482591948,0.6669360929659234,NA,3.430301922861224,NA,349.4493,342.0493,354.7493,0.157193324545,0.9735024752895465,-178.84731770736795,-172.12512281153576,2,False,19,4,68,Franzman_2005_A_brierleyi,"2005,  FRANZMANN, P.D. et al , 'Effects of temperature on the rates of iron and sulfur oxidationby selected bioleaching Bacteria and Archaea: Application of the Ratkowsky equation', Minerals Engineering, 18, (1304?1314)",44.42,-110.58,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,brierleyi,True,C19
68_Sch_O,Acidianus brierleyi,schoolfield,Time To Increase SO4 to 3000mg/L,-1.9262126754116324,3.4602390952542805e-09,NA,17.866254847417938,-1.26919338455,NA,NA,NA,NA,0.8923288491134503,-148.20324315059003,-139.59217029642494,3,False,19,6,68,Franzman_2005_A_brierleyi,"2005,  FRANZMANN, P.D. et al , 'Effects of temperature on the rates of iron and sulfur oxidationby selected bioleaching Bacteria and Archaea: Application of the Ratkowsky equation', Minerals Engineering, 18, (1304?1314)",44.42,-110.58,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,brierleyi,True,C19
69_Sch_O,Acidianus brierleyi,schoolfield,Time To Double Fe3+ concentration,0.8528228430326068,1.2867950038852882e-09,NA,12.273076370021828,-17.397947007,341.7557,336.5557,349.0557,2.34604426681,0.9639559703138123,-31.177848914583514,-24.704447607276705,1,False,14,6,69,Franzman_2005_A_brierleyi_2,"2005,  FRANZMANN, P.D. et al , 'Effects of temperature on the rates of iron and sulfur oxidationby selected bioleaching Bacteria and Archaea: Application of the Ratkowsky equation', Minerals Engineering, 18, (1304?1314)",,,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,brierleyi,True,C19
69_Sch_TF,Acidianus brierleyi,schoolfield two factor,Time To Double Fe3+ concentration,-17.498001164364858,2.2395078418073777,342.448999565,4.196546095515303,NA,342.4557,338.7557,346.3557,2.68238419939,0.884774411422654,-25.0780565350082,-19.88276988693191,2,False,14,4,69,Franzman_2005_A_brierleyi_2,"2005,  FRANZMANN, P.D. et al , 'Effects of temperature on the rates of iron and sulfur oxidationby selected bioleaching Bacteria and Archaea: Application of the Ratkowsky equation', Minerals Engineering, 18, (1304?1314)",,,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,brierleyi,True,C19
69_Sch_OS,Acidianus brierleyi,schoolfield simple,Time To Double Fe3+ concentration,-17.490831237591284,2.2385895252508856,NA,4.196412571147869,NA,342.4557,338.7557,346.3557,2.68239291562,0.8847753200791258,-25.078056306286847,-19.882769658210556,3,False,14,4,69,Franzman_2005_A_brierleyi_2,"2005,  FRANZMANN, P.D. et al , 'Effects of temperature on the rates of iron and sulfur oxidationby selected bioleaching Bacteria and Archaea: Application of the Ratkowsky equation', Minerals Engineering, 18, (1304?1314)",,,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,brierleyi,True,C19
328_Sch_OS,Acidianus brierleyi,schoolfield simple,Sulphur Oxidation Rate,-7.854637004738008,0.6715769820524022,NA,3.37370947355837,NA,349.389,341.889,354.689,0.15705081969,0.9738997140610813,-179.3030804913764,-172.5808855955442,1,False,19,4,328,75,"2005, P.D. Franzmann and C.M. Haddad and R.B. Hawkes and W.J. Robertson and J.J. Plumb, 'Effects of temperature on the rates of iron and sulfur oxidation by selected bioleaching Bacteria and Archaea: Application of the Ratkowsky equation'. Minerals Engineering, 18(13-14),pp1304-1314",,,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,brierleyi,True,C19
328_Sch_TF,Acidianus brierleyi,schoolfield two factor,Sulphur Oxidation Rate,-7.854684316962704,0.6715833682450075,349.414500635,3.373628961419393,NA,349.389,341.889,354.689,0.15705052305,0.9738997054957678,-179.30308049071746,-172.58088559488527,2,False,19,4,328,75,"2005, P.D. Franzmann and C.M. Haddad and R.B. Hawkes and W.J. Robertson and J.J. Plumb, 'Effects of temperature on the rates of iron and sulfur oxidation by selected bioleaching Bacteria and Archaea: Application of the Ratkowsky equation'. Minerals Engineering, 18(13-14),pp1304-1314",,,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,brierleyi,True,C19
328_Sch_O,Acidianus brierleyi,schoolfield,Sulphur Oxidation Rate,-1.5780971157563182,1.4794729696898656e-07,NA,29.290236446308647,-0.980512017942,354.389,343.789,355.889,0.16347024501,0.9770668084525022,-177.7789774694893,-169.1679046153242,3,False,19,6,328,75,"2005, P.D. Franzmann and C.M. Haddad and R.B. Hawkes and W.J. Robertson and J.J. Plumb, 'Effects of temperature on the rates of iron and sulfur oxidation by selected bioleaching Bacteria and Archaea: Application of the Ratkowsky equation'. Minerals Engineering, 18(13-14),pp1304-1314",,,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,brierleyi,True,C19
333_Sch_O,Acidianus brierleyi,schoolfield,Fe3+ Oxidation Rate,0.8558359448937897,3.460461373006041e-08,NA,10.872699381460516,-18.2755945229,341.2823,336.5823,348.9823,2.3529836633,0.963970534642184,-31.240509663384096,-24.767108356077287,1,False,14,6,333,80,"2005, P.D. Franzmann and C.M. Haddad and R.B. Hawkes and W.J. Robertson and J.J. Plumb, 'Effects of temperature on the rates of iron and sulfur oxidation by selected bioleaching Bacteria and Archaea: Application of the Ratkowsky equation'. Minerals Engineering, 18(13-14),pp1304-1314",,,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,brierleyi,True,C19
333_Sch_TF,Acidianus brierleyi,schoolfield two factor,Fe3+ Oxidation Rate,-16.689721450294464,2.1332047498365436,342.70267028,4.182188737835888,NA,342.6823,338.8823,346.5823,2.67562198993,0.8821764245253642,-24.817644117798707,-19.622357469722417,2,False,14,4,333,80,"2005, P.D. Franzmann and C.M. Haddad and R.B. Hawkes and W.J. Robertson and J.J. Plumb, 'Effects of temperature on the rates of iron and sulfur oxidation by selected bioleaching Bacteria and Archaea: Application of the Ratkowsky equation'. Minerals Engineering, 18(13-14),pp1304-1314",,,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,brierleyi,True,C19
333_Sch_OS,Acidianus brierleyi,schoolfield simple,Fe3+ Oxidation Rate,-16.679420246055756,2.131884356590961,NA,4.182228270245762,NA,342.6823,338.8823,346.5823,2.6756705235,0.8821779666909225,-24.81764407372802,-19.622357425651728,3,False,14,4,333,80,"2005, P.D. Franzmann and C.M. Haddad and R.B. Hawkes and W.J. Robertson and J.J. Plumb, 'Effects of temperature on the rates of iron and sulfur oxidation by selected bioleaching Bacteria and Archaea: Application of the Ratkowsky equation'. Minerals Engineering, 18(13-14),pp1304-1314",,,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,brierleyi,True,C19
228_Sch_TF,Acidianus infernus,schoolfield two factor,Specific Growth Rate,-8.74275890485728,1.1400408774029618,365.251916261,1.5438278425904284,NA,365.2735,353.7735,381.5735,8.37568625733,0.9844145656367068,-5.710908932096565,-4.752111585956291,1,False,6,4,228,Segerer_1986_A_infernus,"Segerer, A. et al 1986, 'Acidianus infernus gen. nov. sp. nov. and Acidianus brierleyi comb. nov. : Facultatively Aerobic, Extremely Acidophilic Thermophilic Sulfur-Metabolizing Archaebacteria' INTERNATIONAL JOURNAL OF SYSTEMATIC BACTERIOLOGY 36 (559-564) ",,,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,infernus,True,C19
228_Sch_O,Acidianus infernus,schoolfield,Specific Growth Rate,2.1783153895028398,1.8160105641484847e-09,NA,139141.01487835,-1.70828580692,NA,NA,NA,NA,0.9822505989366368,-0.9328391657371267,-0.3905228811407415,2,False,6,6,228,Segerer_1986_A_infernus,"Segerer, A. et al 1986, 'Acidianus infernus gen. nov. sp. nov. and Acidianus brierleyi comb. nov. : Facultatively Aerobic, Extremely Acidophilic Thermophilic Sulfur-Metabolizing Archaebacteria' INTERNATIONAL JOURNAL OF SYSTEMATIC BACTERIOLOGY 36 (559-564) ",,,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,infernus,True,C19
228_Sch_OS,Acidianus infernus,schoolfield simple,Specific Growth Rate,-2.53389550322265,0.4355065965030924,NA,1855.3622218792611,NA,NA,NA,NA,NA,0.8650659902267447,7.256822730777313,8.215620076917586,3,False,6,4,228,Segerer_1986_A_infernus,"Segerer, A. et al 1986, 'Acidianus infernus gen. nov. sp. nov. and Acidianus brierleyi comb. nov. : Facultatively Aerobic, Extremely Acidophilic Thermophilic Sulfur-Metabolizing Archaebacteria' INTERNATIONAL JOURNAL OF SYSTEMATIC BACTERIOLOGY 36 (559-564) ",,,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,infernus,True,C19
515_Sch_TF,Acidianus manzaensis,schoolfield two factor,Specific Growth Rate,-6.540791571872958,0.7225257392597447,352.035870908,3.267852812735266,NA,352.0619,344.6619,357.4619,1.08944247363,0.9919887187845545,-29.114843744018174,-29.067654181847672,1,False,5,4,515,Yoshida_2006_A_manzaensis,"Yoshida, N., Nakasato, M., Ohmura, N., Ando, A., Saiki, H., Ishii, M., & Igarashi, Y. (2006). Acidianus manzaensis sp. nov., a novel thermoacidophilic Archaeon growing autotrophically by the oxidation of H2 with the reduction of Fe 3+. Current Microbiology, 53(5), 406?411.",40.27,140.8,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,manzaensis,True,F3
515_Sch_OS,Acidianus manzaensis,schoolfield simple,Specific Growth Rate,-6.540865088134704,0.7225347432630507,NA,3.2678229732263784,NA,352.0619,344.6619,357.4619,1.08944400831,0.9919887184372327,-29.114843737100472,-29.06765417492997,2,False,5,4,515,Yoshida_2006_A_manzaensis,"Yoshida, N., Nakasato, M., Ohmura, N., Ando, A., Saiki, H., Ishii, M., & Igarashi, Y. (2006). Acidianus manzaensis sp. nov., a novel thermoacidophilic Archaeon growing autotrophically by the oxidation of H2 with the reduction of Fe 3+. Current Microbiology, 53(5), 406?411.",40.27,140.8,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,manzaensis,True,F3
82_Sch_TF,Acidianus sp. ale1,schoolfield two factor,Specific Growth Rate,-3.549300666632772,0.4816367178130144,352.351537967,52.41773358133359,NA,352.3196,345.9196,353.1196,2.82740184209,0.9752727760515704,-15.85188911990312,-15.804699557732619,1,False,5,4,82,Giaveno_2013_ALE1,"2013,  Giaveno, M.A et al., 'Physiologic Versatility and Growth Flexibility as the Main Characteristics of a Novel Thermoacidophilic Acidianus Strain Isolated from Copahue Geothermal Area in Argentina', ENVIRONMENTAL MICROBIOLOGY, 65, (336?346)",37.48,71.5,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,,True,F3
82_Sch_OS,Acidianus sp. ale1,schoolfield simple,Specific Growth Rate,-3.549301778374371,0.4816368502018844,NA,34.56983019313203,NA,351.9196,345.3196,352.9196,2.75732577126,0.9752726945549955,-15.851884428093463,-15.804694865922961,2,False,5,4,82,Giaveno_2013_ALE1,"2013,  Giaveno, M.A et al., 'Physiologic Versatility and Growth Flexibility as the Main Characteristics of a Novel Thermoacidophilic Acidianus Strain Isolated from Copahue Geothermal Area in Argentina', ENVIRONMENTAL MICROBIOLOGY, 65, (336?346)",37.48,71.5,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,,True,F3
59_Sch_OS,Acidibacter ferrireducens,schoolfield simple,Specific Growth Rate,-6.288463894451899,1.5535443643270188,NA,4.660053393981254,NA,307.6216,304.4216,310.3216,2.00908709718,0.9754985236707499,-25.65505178567286,-23.925501040396295,1,False,7,4,59,Falagan_2014_A_ferrireducens,"2014,  Falagan, C. & Johnson, DB., 'Acidibacter ferrireducens gen. nov., sp. nov.: an acidophilic ferriciron-reducing gammaproteobacterium', Extremophiles, 18, (1067?1073)",37.46066,6.49031,Bacteria,Proteobacteria,Gammaproteobacteria,,,Acidibacter,ferrireducens,True,Aerobic
59_Sch_TF,Acidibacter ferrireducens,schoolfield two factor,Specific Growth Rate,-6.288473178544646,1.5535466191764677,307.611149401,4.660050304236259,NA,307.6216,304.4216,310.3216,2.00908706576,0.9754985187772865,-25.655051785285508,-23.925501040008943,2,False,7,4,59,Falagan_2014_A_ferrireducens,"2014,  Falagan, C. & Johnson, DB., 'Acidibacter ferrireducens gen. nov., sp. nov.: an acidophilic ferriciron-reducing gammaproteobacterium', Extremophiles, 18, (1067?1073)",37.46066,6.49031,Bacteria,Proteobacteria,Gammaproteobacteria,,,Acidibacter,ferrireducens,True,Aerobic
59_Sch_O,Acidibacter ferrireducens,schoolfield,Specific Growth Rate,-5.886715035630776,1.5395282073379049,NA,4.646617071991825,-0.047533033781,307.6216,304.4216,310.3216,2.00906649891,0.9754971444531907,-21.654569735432503,-20.03319869204531,3,False,7,6,59,Falagan_2014_A_ferrireducens,"2014,  Falagan, C. & Johnson, DB., 'Acidibacter ferrireducens gen. nov., sp. nov.: an acidophilic ferriciron-reducing gammaproteobacterium', Extremophiles, 18, (1067?1073)",37.46066,6.49031,Bacteria,Proteobacteria,Gammaproteobacteria,,,Acidibacter,ferrireducens,True,Aerobic
